problem,n,model,seed,MAE,RRMSE,IS,Coverage
branin_hetero,40,Separate GPs,25,4.247831373890175,0.20594294512766603,41.568459485410116,0.942
branin_hetero,40,Separate GPs,26,4.382065151988596,0.2156459604137631,44.38577916512177,0.921
branin_hetero,40,Separate GPs,27,4.5770556751048685,0.2168223325078753,43.07240949793267,0.933
branin_hetero,40,Separate GPs,28,4.267102194084233,0.20060279023191274,42.00446107312047,0.9400000000000001
branin_hetero,40,Separate GPs,29,4.769396816409286,0.22470100567507384,43.83900757989256,0.9289999999999999
branin_hetero,40,Separate GPs,30,5.410797471642769,0.23028978037696562,42.43431986855321,0.9359999999999999
branin_hetero,40,Categorical GP,1,1.8792882255157788,0.06516502060244381,14.077767678048849,1.0
branin_hetero,40,Categorical GP,2,1.345430131865435,0.039246870528148035,15.745027513441306,1.0
branin_hetero,40,Categorical GP,3,1.5282758681814923,0.050802846547645206,14.283244881329988,1.0
branin_hetero,40,Categorical GP,4,1.7372259250475437,0.06510130863379601,14.78506531559816,1.0
branin_hetero,40,Categorical GP,5,1.710854735461546,0.06313833577479003,14.110344182026267,1.0
branin_hetero,40,Categorical GP,6,1.2409655447269283,0.0410355923465543,15.6603916573574,1.0
branin_hetero,40,Categorical GP,7,1.3829448184324005,0.05039488140809336,13.878156093427435,0.986
branin_hetero,40,Categorical GP,8,1.2686794261043672,0.045637372902253164,14.981872675543489,1.0
branin_hetero,40,Categorical GP,9,1.405801729410616,0.04845213794337076,14.473104809149135,0.998
branin_hetero,40,Categorical GP,10,1.748183213820731,0.05666321387402817,14.966467743001399,0.9949999999999999
branin_hetero,40,Categorical GP,11,1.127821265579081,0.03473594367785151,14.175822663509269,1.0
branin_hetero,40,Categorical GP,12,1.2947784188202471,0.03977148767963212,15.207453880323314,1.0
branin_hetero,40,Categorical GP,13,1.4259991368586884,0.0426939760757718,15.347554741310779,1.0
branin_hetero,40,Categorical GP,14,1.7348399582587901,0.057788440796837,14.121721976039783,1.0
branin_hetero,40,Categorical GP,15,1.3901534313008639,0.047241950805745794,15.151056001070625,1.0
branin_hetero,40,Categorical GP,16,1.3357049972224337,0.04488158230848753,13.953067002744623,1.0
branin_hetero,40,Categorical GP,17,2.045509465053585,0.06954638850625808,14.121555915452735,0.9800000000000001
branin_hetero,40,Categorical GP,18,1.7421541753768175,0.05406434839240237,15.394258883679896,1.0
branin_hetero,40,Categorical GP,19,1.374027086584214,0.04268773330892027,14.638649224759892,1.0
branin_hetero,40,Categorical GP,20,1.7927505492230804,0.06070643657832227,15.906026350846536,1.0
branin_hetero,40,Categorical GP,21,1.6406203230931766,0.06146223617653955,13.178858200688992,1.0
branin_hetero,40,Categorical GP,22,1.700556104699397,0.05469140237806105,14.269496321068056,0.992
branin_hetero,40,Categorical GP,23,1.847385279659465,0.06919711414514558,15.648837169091157,1.0
branin_hetero,40,Categorical GP,24,2.174915837732642,0.08652284484059114,14.74905804230313,1.0
branin_hetero,40,Categorical GP,25,1.3848887891360975,0.041704730782484024,14.595230721953328,0.982
branin_hetero,40,Categorical GP,26,1.3742238653045482,0.04285686208779065,14.375484844706728,1.0
branin_hetero,40,Categorical GP,27,1.6430333498167606,0.05497823912508356,15.147332380589969,1.0
branin_hetero,40,Categorical GP,28,1.7318734773180395,0.06023214027804151,15.820921530663835,0.993
branin_hetero,40,Categorical GP,29,1.4576617645733223,0.047915857727565396,15.171843658835751,0.991
branin_hetero,40,Categorical GP,30,2.0847115071600535,0.07971044575825917,17.982686896488474,0.9550000000000001
branin_hetero,40,Standard LVGP,1,2.7062923343145346,0.10872285210254184,55.611457744089265,0.425
branin_hetero,40,Standard LVGP,2,2.9233317735234876,0.1088833164061723,71.3611154782475,0.28099999999999997
branin_hetero,40,Standard LVGP,3,3.9484948092051355,0.13053611361212095,61.709553665709336,0.426
branin_hetero,40,Standard LVGP,4,4.385828154558959,0.18376251637742155,89.45589485201575,0.5630000000000001
branin_hetero,40,Standard LVGP,5,3.70727384038333,0.13656084321967568,79.93073567097261,0.309
branin_hetero,40,Standard LVGP,6,3.1050811921631856,0.11432243106721371,33.08123285951435,0.711
branin_hetero,40,Standard LVGP,7,2.250124958956852,0.09189782816359868,37.32384679037739,0.471
branin_hetero,40,Standard LVGP,8,4.064540199157081,0.153505483951397,108.36631901873439,0.138
branin_hetero,40,Standard LVGP,9,2.170610115273943,0.0897292452626716,40.57301349403175,0.44000000000000006
branin_hetero,40,Standard LVGP,10,2.821243972364178,0.10271555266023588,61.731469537996986,0.406
branin_hetero,40,Standard LVGP,11,2.9908012938400015,0.11173803831684467,48.25986453777283,0.5509999999999999
branin_hetero,40,Standard LVGP,12,3.1292058779902314,0.1273088447871209,45.49351988413906,0.593
branin_hetero,40,Standard LVGP,13,3.1266417774699313,0.11723127259648936,61.64400079950402,0.461
branin_hetero,40,Standard LVGP,14,4.1668765564328165,0.17723749243055886,84.89953002031262,0.43499999999999994
branin_hetero,40,Standard LVGP,15,3.4662819106679033,0.13135993901816392,66.59663881473115,0.24299999999999997
branin_hetero,40,Standard LVGP,16,4.465933542898477,0.19828908998649736,58.153052759453246,0.607
branin_hetero,40,Standard LVGP,17,2.157185673249501,0.08485979655117533,59.12652502501089,0.277
branin_hetero,40,Standard LVGP,18,3.2451560310148735,0.1327965750177576,91.4120428253447,0.22200000000000003
branin_hetero,40,Standard LVGP,19,3.2910744114628976,0.13277224353969275,60.530972033265925,0.5770000000000001
branin_hetero,40,Standard LVGP,20,2.3751647173273773,0.10367601944835783,71.83821439685516,0.24999999999999994
branin_hetero,40,Standard LVGP,21,3.0177886174490514,0.1157051450192704,67.52228307242362,0.396
branin_hetero,40,Standard LVGP,22,2.168574091461358,0.07957785242646237,60.06447837348394,0.32999999999999996
branin_hetero,40,Standard LVGP,23,3.1390788026712673,0.11779997485669111,61.36288578735143,0.316
branin_hetero,40,Standard LVGP,24,3.9001933219794735,0.15931385552722319,113.28952188331718,0.16499999999999998
branin_hetero,40,Standard LVGP,25,2.2236813665285173,0.07730033164048566,46.20408975723076,0.314
branin_hetero,40,Standard LVGP,26,1.8967871128475822,0.07961358778395597,40.63575105151979,0.323
branin_hetero,40,Standard LVGP,27,3.041869438937815,0.12412778148543302,49.0269993809301,0.522
branin_hetero,40,Standard LVGP,28,3.2660647100892306,0.12515070751712284,51.85904616363409,0.43800000000000006
branin_hetero,40,Standard LVGP,29,2.5597058498689043,0.0952284704654296,35.16164843850468,0.624
branin_hetero,40,Standard LVGP,30,3.5485314251371323,0.13770375182620387,72.4624015749159,0.495
branin_hetero,40,H-LVGP,1,1.3499524241353467,0.054561513025117095,30.602884272606662,1.0
branin_hetero,40,H-LVGP,2,1.7598000477218094,0.057242642583022585,35.251956463824015,1.0
branin_hetero,40,H-LVGP,3,1.5072813588266387,0.05052864211585108,49.558228471401094,1.0
branin_hetero,40,H-LVGP,4,2.4174784831498664,0.09506211886508083,45.98209990838791,1.0
branin_hetero,40,H-LVGP,5,1.7467631582074563,0.06899067575210294,33.60408924646946,1.0
branin_hetero,40,H-LVGP,6,1.48041583862761,0.05651652914717661,48.98457287983492,1.0
branin_hetero,40,H-LVGP,7,1.2078778347943337,0.0484621605514001,29.1227586115117,1.0
branin_hetero,40,H-LVGP,8,1.3865209534743792,0.043446153528984933,26.277188136889777,1.0
branin_hetero,40,H-LVGP,9,1.3971320726247058,0.05350028400067317,43.67917573750417,1.0
branin_hetero,40,H-LVGP,10,1.2339108944363233,0.04185560692606924,23.87903255386818,1.0
branin_hetero,40,H-LVGP,11,1.9069907841044116,0.07359098811736037,32.42963528013057,1.0
branin_hetero,40,H-LVGP,12,1.5560254161161633,0.0570546203058242,50.299620700162656,1.0
branin_hetero,40,H-LVGP,13,1.3034507507841968,0.04210259955314859,25.612036099020237,1.0
branin_hetero,40,H-LVGP,14,1.8053412108552933,0.0680891780178173,37.147793943791086,1.0
branin_hetero,40,H-LVGP,15,1.2079770803669692,0.045029977245696434,23.716909292806587,1.0
branin_hetero,40,H-LVGP,16,2.873175394793106,0.11775781461833672,57.38938658446078,1.0
branin_hetero,40,H-LVGP,17,2.3591903312777096,0.08832663299871069,28.896956366833262,1.0
branin_hetero,40,H-LVGP,18,2.0103462220449444,0.06914095558396326,43.13856887219437,1.0
branin_hetero,40,H-LVGP,19,2.152511071656033,0.09527737215186236,53.21253835263235,1.0
branin_hetero,40,H-LVGP,20,1.7229236894677773,0.05976154797648081,26.172351406191684,1.0
branin_hetero,40,H-LVGP,21,1.5205410876260577,0.06148093251951474,22.48584990953526,1.0
branin_hetero,40,H-LVGP,22,1.5163721360767988,0.053803106280212606,23.952725841281367,1.0
branin_hetero,40,H-LVGP,23,1.620367113229578,0.052683172663324604,35.05239902811994,1.0
branin_hetero,40,H-LVGP,24,2.3013574037384226,0.08536983917401228,18.886346072241547,1.0
branin_hetero,40,H-LVGP,25,1.2400519907707763,0.04292678996051623,26.564619023347586,1.0
branin_hetero,40,H-LVGP,26,1.7681051447928695,0.06793514151430952,22.96448328100493,0.954
branin_hetero,40,H-LVGP,27,1.5713421555896996,0.060123228967565924,45.0376784304901,1.0
branin_hetero,40,H-LVGP,28,1.4228276559262054,0.04473875068905273,37.88428377704517,1.0
branin_hetero,40,H-LVGP,29,1.9171113119350287,0.07499136739555148,45.24805831623021,1.0
branin_hetero,40,H-LVGP,30,2.403088381469487,0.09535776932436375,45.35622189130426,1.0
sixhump_camel,25,Separate GPs,1,0.2291086156608399,0.32426792521190856,2.126818978300382,0.9549999999999998
sixhump_camel,25,Separate GPs,2,0.22378954509568355,0.3115360701788457,2.0786158298911093,0.9480000000000001
sixhump_camel,25,Separate GPs,3,0.23921881960999142,0.320158230847521,2.0419500287105223,0.9480000000000001
sixhump_camel,25,Separate GPs,4,0.22617469637856705,0.31237234706915784,2.1399521479878802,0.9390000000000001
sixhump_camel,25,Separate GPs,5,0.21678463880432486,0.30846856732065414,1.984303862368207,0.962
sixhump_camel,25,Separate GPs,6,0.22255585955292995,0.3121474233266962,1.9542171297929882,0.959
sixhump_camel,25,Separate GPs,7,0.21135969393881723,0.30776959731065345,1.9987129680356603,0.953
sixhump_camel,25,Separate GPs,8,0.23552555663875507,0.32471894829453274,2.0704331201483015,0.9510000000000002
sixhump_camel,25,Separate GPs,9,0.22619833067437023,0.3185898779194576,2.1247098666514703,0.9460000000000001
sixhump_camel,25,Separate GPs,10,0.22419673755297986,0.31372015306298046,2.0706207679020348,0.959
sixhump_camel,25,Separate GPs,11,0.243573881129202,0.3309995152933912,2.2063940980863803,0.9389999999999998
sixhump_camel,25,Separate GPs,12,0.22667743907647914,0.3072527211607746,2.0051313343167134,0.946
sixhump_camel,25,Separate GPs,13,0.255814684008037,0.32266055874584043,2.0434190294514947,0.951
sixhump_camel,25,Separate GPs,14,0.22077409348094124,0.3128570983204487,2.034526162317542,0.961
sixhump_camel,25,Separate GPs,15,0.2361437163907778,0.3239106000565542,2.0315787791338087,0.9650000000000001
sixhump_camel,25,Separate GPs,16,0.22749053616079823,0.32301612144241193,2.035463126112345,0.9649999999999999
sixhump_camel,25,Separate GPs,17,0.2355622999170027,0.32260411975602266,2.1371272563534838,0.946
sixhump_camel,25,Separate GPs,18,0.24679041932009627,0.3359913369933172,2.0690152091542355,0.9649999999999999
sixhump_camel,25,Separate GPs,19,0.2287357779319322,0.3220279153799375,2.094139855023995,0.9460000000000001
sixhump_camel,25,Separate GPs,20,0.2212571389345964,0.317261512709326,2.017521284506146,0.9639999999999999
sixhump_camel,25,Separate GPs,21,0.23247017887207427,0.32562396864283877,2.151838490060603,0.9410000000000001
sixhump_camel,25,Separate GPs,22,0.2295350381144085,0.3214929989742162,2.0629960850071036,0.95
sixhump_camel,25,Separate GPs,23,0.23824600894881126,0.32084956221226846,2.140205054438087,0.9480000000000001
sixhump_camel,25,Separate GPs,24,0.22615062557441248,0.31852270317104886,2.154229135185406,0.945
sixhump_camel,25,Separate GPs,25,0.230396214835638,0.3140550302938771,1.9869846401047908,0.9489999999999998
sixhump_camel,25,Separate GPs,26,0.23896700979537253,0.31345234025987045,2.0790222560343063,0.945
sixhump_camel,25,Separate GPs,27,0.22046650130753487,0.3146450193871191,2.0195590306528874,0.9559999999999998
sixhump_camel,25,Separate GPs,28,0.23573796376153483,0.32976075926280896,2.1235028778163705,0.9480000000000001
sixhump_camel,25,Separate GPs,29,0.23097165765478972,0.31485649910844105,2.0515437168279673,0.9490000000000001
sixhump_camel,25,Separate GPs,30,0.2420571828707379,0.32097439967573027,2.119441430299729,0.946
sixhump_camel,25,Categorical GP,1,0.16056517433441334,0.26536723531554013,1.8089668389633382,0.9259999999999999
sixhump_camel,25,Categorical GP,2,0.15757957723740237,0.25548669465193324,1.7893616007749635,0.9289999999999999
sixhump_camel,25,Categorical GP,3,0.1824678493441973,0.27569586571913585,1.9365881844591404,0.9129999999999999
sixhump_camel,25,Categorical GP,4,0.17209295292367194,0.26752431151271033,1.9817696804337246,0.916
sixhump_camel,25,Categorical GP,5,0.1494737079561436,0.24662350640203182,1.6535963067230313,0.9349999999999999
sixhump_camel,25,Categorical GP,6,0.16247473204798907,0.24997560315590556,1.519963779317858,0.946
sixhump_camel,25,Categorical GP,7,0.15419927175810694,0.2573754004433152,1.7833555519748885,0.93
sixhump_camel,25,Categorical GP,8,0.1816635186471846,0.28961294647436686,2.024411401477307,0.914
sixhump_camel,25,Categorical GP,9,0.16541410893641745,0.2567209725665528,1.7405004851741026,0.9179999999999999
sixhump_camel,25,Categorical GP,10,0.1592471403764172,0.24831427799338351,1.6785712944115105,0.931
sixhump_camel,25,Categorical GP,11,0.17713486436165743,0.25415172871853925,1.5858432472068162,0.9349999999999999
